Rk,Player,Team,W,ERA,BB,SO9
1,Logan Webb,SFG,15,3.22,46,9.7
2,Garrett Crochet,BOS,18,2.59,46,11.2
3,Cristopher Sánchez,PHI,13,2.5,44,9.4
4,Max Fried,NYY,19,2.86,51,8.7
5,Carlos Rodón,NYY,18,3.09,73,9.4
6,Tarik Skubal,DET,13,2.21,33,11.1
7,Kevin Gausman,TOR,10,3.59,50,8.8
8,Zac Gallen,ARI,13,4.83,66,8.2
9,Framber Valdez,HOU,13,3.66,68,8.8
10,Paul Skenes,PIT,10,1.97,42,10.4
11,Bryan Woo,SEA,15,2.94,36,9.5
13,Hunter Brown,HOU,12,2.43,57,10
15,Jesús Luzardo,PHI,15,3.92,57,10.6
16,Tanner Bibee,CLE,12,4.24,54,8
17,Robbie Ray,SFG,11,3.65,73,9.2
18,Nick Pivetta,SDP,13,2.87,50,9.4
19,Luis Castillo,SEA,11,3.54,46,8.1
20,Sonny Gray,STL,14,4.28,38,10
21,Jake Irvin,WSN,9,5.7,62,6.2
22,Matthew Boyd,CHC,14,3.21,42,7.7
23,Yusei Kikuchi,LAA,7,3.99,74,8.8
24,Freddy Peralta,MIL,17,2.7,66,10.4
25,Brandon Pfaadt,ARI,13,5.25,37,7.5
26,Mitch Keller,PIT,6,4.19,51,7.7
27,Sandy Alcantara,MIA,11,5.36,57,7.3
28,Yoshinobu Yamamoto,LAD,12,2.49,59,10.4
29,Jacob deGrom,TEX,12,2.97,37,9.6
30,Michael Wacha,KCR,10,3.86,45,6.6
31,Dean Kremer,BAL,11,4.19,45,7.4
32,Joe Ryan,MIN,13,3.42,39,10.2
33,Jeffrey Springs,ATH,11,4.11,54,7.3
34,Chris Bassitt,TOR,11,3.96,52,8.8
35,Brady Singer,CIN,14,4.03,60,8.6
36,José Soriano,LAA,10,4.26,78,8.1
37,David Peterson,NYM,9,4.22,65,8
38,Dylan Cease,SDP,8,4.55,71,11.5
39,Ryan Pepiot,TBR,11,3.86,61,9
40,Gavin Williams,CLE,12,3.06,83,9.3
41,Brayan Bello,BOS,11,3.35,59,6.7
42,Andrew Abbott,CIN,10,2.87,43,8.1
43,Shane Baz,TBR,10,4.87,64,9.5
44,José Berríos,TOR,9,4.17,56,7.5
45,Clay Holmes,NYM,12,3.53,66,7
46,Nick Martinez,CIN,11,4.45,42,6.3
47,Kyle Hendricks,LAA,8,4.76,43,6.2
48,Mitchell Parker,WSN,9,5.68,58,5.6
49,Kyle Freeland,COL,5,4.98,38,6.9
50,Andre Pallante,STL,6,5.31,62,6.1
51,Luis Severino,ATH,8,4.54,50,6.9
52,Will Warren,NYY,9,4.44,65,9.5
53,Jack Flaherty,DET,8,4.64,59,10.5
54,MacKenzie Gore,WSN,5,4.17,64,10.4
55,Colin Rea,CHC,11,3.95,44,7.2
57,Quinn Priester,MIL,13,3.32,50,7.6
58,Ranger Suárez,PHI,12,3.2,38,8.6
59,Tomoyuki Sugano,BAL,10,4.64,36,6.1
60,Logan Allen,CLE,8,4.25,62,7
61,Nick Lodolo,CIN,9,3.33,31,9
62,Bryce Elder,ATL,8,5.3,51,7.5
63,Miles Mikolas,STL,8,4.84,37,5.8
64,Patrick Corbin,TEX,7,4.4,51,7.6
65,Eduardo Rodríguez,ARI,9,5.02,60,8.3
66,Ryne Nelson,ARI,7,3.39,41,7.7
67,Justin Verlander,SFG,4,3.85,52,8.1
68,Jack Leiter,TEX,10,3.86,67,8.8
69,Matthew Liberatore,STL,8,4.21,40,7.2
70,Drew Rasmussen,TBR,10,2.76,37,7.6
71,Zack Wheeler,PHI,10,2.71,33,11.7
72,Casey Mize,DET,14,3.87,36,8.4
73,Bailey Ober,MIN,6,5.1,31,7.4
74,Shane Smith,CHW,7,3.81,58,8.9
75,Seth Lugo,KCR,8,4.15,55,7.7
76,Lucas Giolito,BOS,10,3.41,56,7.5
77,Shota Imanaga,CHC,9,3.73,26,7.3
78,Davis Martin,CHW,7,4.1,48,6.6
81,Michael Lorenzen,KCR,7,4.64,39,8.1
83,Noah Cameron,KCR,9,2.99,43,7.4
84,Edward Cabrera,MIA,8,3.53,48,9.8
85,Tyler Anderson,LAA,2,4.56,57,6.9
87,Sean Burke,CHW,4,4.22,63,8.9
88,Randy Vásquez,SDP,6,3.84,52,5.3
90,Slade Cecconi,CLE,7,4.3,32,7.4
91,Jose Quintana,MIL,11,3.96,50,6.1
92,Logan Gilbert,SEA,6,3.44,31,11.9
93,Brad Lord,WSN,5,4.34,43,7.4
94,Nathan Eovaldi,TEX,11,1.73,21,8.9
95,Antonio Senzatela,COL,4,6.65,47,5.1
96,Jameson Taillon,CHC,11,3.68,27,6.8
97,Germán Márquez,COL,3,6.7,48,5.9
98,George Kirby,SEA,10,4.21,29,9.8
100,Chris Sale,ATL,7,2.58,32,11.8
101,Spencer Strider,ATL,7,4.45,51,9.4
