Rk,Player,Team,Pos,G,3P /G,FT%,REB /G,AST /G,PTS /G
1,Luka Dončić,LAL,PG,43,3.7,0.779,7.8,8.6,33
2,Shai Gilgeous-Alexander,OKC,PG,49,1.8,0.892,4.4,6.4,31.8
3,Anthony Edwards,MIN,SG,47,3.4,0.794,5.2,3.7,29.5
4,Jaylen Brown,BOS,SF,50,2,0.777,7,4.8,29.2
5,Tyrese Maxey,PHI,PG,53,3.4,0.892,4.1,6.7,28.9
6,Donovan Mitchell,CLE,SG,53,3.6,0.856,4.4,5.9,28.8
7,Nikola Jokić,DEN,C,41,1.9,0.833,12.3,10.5,28.6
8,Giannis Antetokounmpo,MIL,PF,30,0.5,0.658,10,5.6,28
9,Kawhi Leonard,LAC,SF,43,2.7,0.909,6.3,3.7,27.8
10,Stephen Curry,GSW,PG,39,4.5,0.931,3.5,4.8,27.2
11,Jalen Brunson,NYK,PG,51,2.9,0.85,3.4,6.1,27.1
12,Lauri Markkanen,UTA,PF,41,2.8,0.892,7,2.1,26.7
13,Joel Embiid,PHI,C,31,1.3,0.858,7.5,3.9,26.6
14,Kevin Durant,HOU,SF,51,2.3,0.882,5.4,4.4,26
15,Cade Cunningham,DET,PG,48,2,0.81,5.7,9.7,25.7
16,Jamal Murray,DEN,PG,52,3.2,0.887,4.5,7.6,25.6
17,Austin Reaves,LAL,SG,29,2.6,0.871,5.1,5.9,25.6
18,Deni Avdija,POR,SF,47,2.2,0.8,7.2,6.8,25
20,Devin Booker,PHO,SG,44,1.7,0.861,3.9,6.1,24.7
21,Michael Porter Jr.,BRK,SF,43,3.5,0.853,7.2,3.2,24.7
22,Victor Wembanyama,SAS,C,41,1.8,0.812,11.1,2.8,24.2
23,Keyonte George,UTA,PG,48,2.5,0.894,3.9,6.5,23.8
24,Pascal Siakam,IND,PF,51,1.8,0.68,6.7,3.9,23.7
25,Jalen Johnson,ATL,SF,52,1.6,0.785,10.7,8.2,23.3
26,Norman Powell,MIA,SG,46,2.9,0.844,3.6,2.6,22.8
27,Julius Randle,MIN,PF,57,1.5,0.825,6.9,5.4,22.2
28,Tyler Herro,MIA,SG,12,2.2,0.911,4.7,2.8,22.1
29,Trey Murphy III,NOP,SF,52,3.2,0.892,5.7,3.8,22.1
30,Brandon Ingram,TOR,SF,54,1.8,0.837,5.8,3.7,22
31,Zion Williamson,NOP,PF,41,0,0.712,6,3.5,21.9
32,LeBron James,LAL,SF,37,1.4,0.749,5.7,7.2,21.7
33,Paolo Banchero,ORL,PF,44,1.2,0.765,8.3,4.8,21.5
34,Shaedon Sharpe,POR,SG,48,2.1,0.784,4.4,2.6,21.4
35,Franz Wagner,ORL,SF,28,1.5,0.828,5.8,3.6,21.3
36,Dillon Brooks,PHO,SF,49,2.4,0.856,3.7,1.8,21.2
37,Brandon Miller,CHO,SF,40,3,0.891,4.7,3.4,20.5
38,Alperen Şengün,HOU,C,47,0.6,0.69,9.2,6.3,20.5
39,Anthony Davis,DAL,PF,20,0.5,0.728,11.1,2.8,20.4
40,Cooper Flagg,DAL,SF,49,1.1,0.804,6.6,4.1,20.4
41,Nickeil Alexander-Walker,ATL,SG,56,3,0.883,3.6,3.7,20
42,Jimmy Butler,GSW,SF,38,0.8,0.864,5.6,4.9,20
43,Karl-Anthony Towns,NYK,C,52,1.6,0.857,11.9,2.9,19.8
44,Ty Jerome,MEM,SG,6,2.3,0.848,2.2,6,19.7
45,Desmond Bane,ORL,SG,54,1.9,0.926,4.2,4.1,19.6
46,Ja Morant,MEM,PG,20,1,0.897,3.3,8.1,19.5
48,De'Aaron Fox,SAS,PG,46,2,0.797,3.8,6.3,19.3
49,Trae Young,ATL,PG,10,1.8,0.863,1.5,8.9,19.3
50,Scottie Barnes,TOR,PF,55,0.9,0.823,8.4,5.6,19.2
51,Zach LaVine,SAC,SG,39,2.5,0.88,2.8,2.3,19.2
52,LaMelo Ball,CHO,PG,47,3.4,0.893,4.8,7.3,19.1
53,Kon Knueppel,CHO,SF,56,3.4,0.9,5.5,3.5,19.1
55,DeMar DeRozan,SAC,PF,57,0.7,0.864,3.2,3.8,18.6
56,Coby White,CHI,SG,29,2.5,0.805,3.7,4.7,18.6
57,Bam Adebayo,MIA,C,49,1.6,0.775,9.9,2.8,18.4
58,RJ Barrett,TOR,SF,32,1.7,0.707,5.3,3.6,18.4
59,Jerami Grant,POR,PF,41,2.2,0.827,3.5,2.3,18.4
61,Miles Bridges,CHO,PF,53,2.1,0.845,6.1,3.5,18.2
62,Josh Giddey,CHI,PG,35,1.7,0.775,8.5,8.7,18.2
63,Darius Garland,CLE,PG,26,2.3,0.861,2.4,6.9,18
64,Jalen Duren,DET,C,44,0,0.737,10.4,1.8,17.7
65,Aaron Gordon,DEN,PF,23,1.8,0.789,6.2,2.5,17.7
66,Evan Mobley,CLE,PF,43,1.1,0.635,8.8,4,17.7
67,Kevin Porter Jr.,MIL,PG,29,1.4,0.871,5.1,7.6,17.6
68,Amen Thompson,HOU,PG,53,0.3,0.787,7.6,5.3,17.5
69,Jalen Williams,OKC,SG,26,0.8,0.833,4.7,5.4,17.5
70,Chet Holmgren,OKC,PF,50,1.3,0.793,8.7,1.6,17.4
71,Payton Pritchard,BOS,PG,54,2.6,0.856,4.2,5.4,17.4
72,Alex Sarr,WAS,C,41,1,0.691,7.8,2.8,17.2
73,Andrew Nembhard,IND,PG,44,1.9,0.816,2.9,7.4,17.1
74,Ryan Rollins,MIL,PG,52,2.5,0.757,4.6,5.5,17.1
75,Derrick White,BOS,SG,53,2.8,0.896,4.4,5.6,17.1
76,Grayson Allen,PHO,SG,35,3.3,0.842,3,4,17
77,Immanuel Quickley,TOR,PG,53,2.6,0.805,4.3,6,17
79,Saddiq Bey,NOP,SF,50,1.9,0.848,5.9,2.5,16.7
80,Stephon Castle,SAS,PG,45,1.1,0.724,5,6.9,16.6
82,OG Anunoby,NYK,PF,42,2,0.796,5.4,2.3,16.4
83,Onyeka Okongwu,ATL,C,52,2.1,0.771,7.7,3.2,16.2
172,Rudy Gobert,MIN,C,55,0,0.502,11.3,1.7,11.2
175,Jusuf Nurkić,UTA,C,41,0.6,0.549,10.4,4.8,10.9
