Player,Age,Team,Conference,Pos,3P /G,FT%,REB /G,AST /G,PTS /G
Luka Dončić,26,LAL,West,PG,3.7,0.779,7.8,8.6,33
Shai Gilgeous-Alexander,27,OKC,West,PG,1.8,0.892,4.4,6.4,31.8
Anthony Edwards,24,MIN,West,SG,3.4,0.794,5.2,3.7,29.5
Jaylen Brown,29,BOS,East,SF,2,0.777,7,4.8,29.2
Tyrese Maxey,25,PHI,East,PG,3.4,0.892,4.1,6.7,28.9
Donovan Mitchell,29,CLE,East,SG,3.6,0.856,4.4,5.9,28.8
Nikola Jokić,30,DEN,West,C,1.9,0.833,12.3,10.5,28.6
Giannis Antetokounmpo,31,MIL,East,PF,0.5,0.658,10,5.6,28
Kawhi Leonard,34,LAC,West,SF,2.7,0.909,6.3,3.7,27.8
Stephen Curry,37,GSW,West,PG,4.5,0.931,3.5,4.8,27.2
Jalen Brunson,29,NYK,East,PG,2.9,0.85,3.4,6.1,27.1
Lauri Markkanen,28,UTA,West,PF,2.8,0.892,7,2.1,26.7
Joel Embiid,31,PHI,East,C,1.3,0.858,7.5,3.9,26.6
Kevin Durant,37,HOU,West,SF,2.3,0.882,5.4,4.4,26
Cade Cunningham,24,DET,East,PG,2,0.81,5.7,9.7,25.7
Jamal Murray,28,DEN,West,PG,3.2,0.887,4.5,7.6,25.6
Austin Reaves,27,LAL,West,SG,2.6,0.871,5.1,5.9,25.6
Deni Avdija,25,POR,West,SF,2.2,0.8,7.2,6.8,25
Devin Booker,29,PHO,West,SG,1.7,0.861,3.9,6.1,24.7
Michael Porter Jr.,27,BRK,East,SF,3.5,0.853,7.2,3.2,24.7
Victor Wembanyama,22,SAS,West,C,1.8,0.812,11.1,2.8,24.2
Keyonte George,22,UTA,West,PG,2.5,0.894,3.9,6.5,23.8
Pascal Siakam,31,IND,East,PF,1.8,0.68,6.7,3.9,23.7
Jalen Johnson,24,ATL,East,SF,1.6,0.785,10.7,8.2,23.3
Norman Powell,32,MIA,East,SG,2.9,0.844,3.6,2.6,22.8
Julius Randle,31,MIN,West,PF,1.5,0.825,6.9,5.4,22.2
Tyler Herro,26,MIA,East,SG,2.2,0.911,4.7,2.8,22.1
Trey Murphy III,25,NOP,West,SF,3.2,0.892,5.7,3.8,22.1
Brandon Ingram,28,TOR,East,SF,1.8,0.837,5.8,3.7,22
Zion Williamson,25,NOP,West,PF,0,0.712,6,3.5,21.9
LeBron James,41,LAL,West,SF,1.4,0.749,5.7,7.2,21.7
Paolo Banchero,23,ORL,East,PF,1.2,0.765,8.3,4.8,21.5
Shaedon Sharpe,22,POR,West,SG,2.1,0.784,4.4,2.6,21.4
Franz Wagner,24,ORL,East,SF,1.5,0.828,5.8,3.6,21.3
Dillon Brooks,30,PHO,West,SF,2.4,0.856,3.7,1.8,21.2
Brandon Miller,23,CHO,East,SF,3,0.891,4.7,3.4,20.5
Alperen Şengün,23,HOU,West,C,0.6,0.69,9.2,6.3,20.5
Anthony Davis,32,DAL,West,PF,0.5,0.728,11.1,2.8,20.4
Cooper Flagg,19,DAL,West,SF,1.1,0.804,6.6,4.1,20.4
Nickeil Alexander-Walker,27,ATL,East,SG,3,0.883,3.6,3.7,20
Jimmy Butler,36,GSW,West,SF,0.8,0.864,5.6,4.9,20
Karl-Anthony Towns,30,NYK,East,C,1.6,0.857,11.9,2.9,19.8
Ty Jerome,28,MEM,West,SG,2.3,0.848,2.2,6,19.7
Desmond Bane,27,ORL,East,SG,1.9,0.926,4.2,4.1,19.6
Ja Morant,26,MEM,West,PG,1,0.897,3.3,8.1,19.5
De'Aaron Fox,28,SAS,West,PG,2,0.797,3.8,6.3,19.3
Trae Young,27,ATL,East,PG,1.8,0.863,1.5,8.9,19.3
Scottie Barnes,24,TOR,East,PF,0.9,0.823,8.4,5.6,19.2
Zach LaVine,30,SAC,West,SG,2.5,0.88,2.8,2.3,19.2
LaMelo Ball,24,CHO,East,PG,3.4,0.893,4.8,7.3,19.1
Kon Knueppel,20,CHO,East,SF,3.4,0.9,5.5,3.5,19.1
DeMar DeRozan,36,SAC,West,PF,0.7,0.864,3.2,3.8,18.6
Coby White,25,CHI,East,SG,2.5,0.805,3.7,4.7,18.6
Bam Adebayo,28,MIA,East,C,1.6,0.775,9.9,2.8,18.4
RJ Barrett,25,TOR,East,SF,1.7,0.707,5.3,3.6,18.4
Jerami Grant,31,POR,West,PF,2.2,0.827,3.5,2.3,18.4
Miles Bridges,27,CHO,East,PF,2.1,0.845,6.1,3.5,18.2
Josh Giddey,23,CHI,East,PG,1.7,0.775,8.5,8.7,18.2
Darius Garland,26,CLE,East,PG,2.3,0.861,2.4,6.9,18
Jalen Duren,22,DET,East,C,0,0.737,10.4,1.8,17.7
Aaron Gordon,30,DEN,West,PF,1.8,0.789,6.2,2.5,17.7
Evan Mobley,24,CLE,East,PF,1.1,0.635,8.8,4,17.7
Kevin Porter Jr.,25,MIL,East,PG,1.4,0.871,5.1,7.6,17.6
Amen Thompson,23,HOU,West,PG,0.3,0.787,7.6,5.3,17.5
Jalen Williams,24,OKC,West,SG,0.8,0.833,4.7,5.4,17.5
Chet Holmgren,23,OKC,West,PF,1.3,0.793,8.7,1.6,17.4
Payton Pritchard,28,BOS,East,PG,2.6,0.856,4.2,5.4,17.4
Alex Sarr,20,WAS,East,C,1,0.691,7.8,2.8,17.2
Andrew Nembhard,26,IND,East,PG,1.9,0.816,2.9,7.4,17.1
Ryan Rollins,23,MIL,East,PG,2.5,0.757,4.6,5.5,17.1
Derrick White,31,BOS,East,SG,2.8,0.896,4.4,5.6,17.1
Grayson Allen,30,PHO,West,SG,3.3,0.842,3,4,17
Immanuel Quickley,26,TOR,East,PG,2.6,0.805,4.3,6,17
Saddiq Bey,26,NOP,West,SF,1.9,0.848,5.9,2.5,16.7
Stephon Castle,21,SAS,West,PG,1.1,0.724,5,6.9,16.6
OG Anunoby,28,NYK,East,PF,2,0.796,5.4,2.3,16.4
Onyeka Okongwu,25,ATL,East,C,2.1,0.771,7.7,3.2,16.2
Rudy Gobert,33,MIN,West,C,0,0.502,11.3,1.7,11.2
Jusuf Nurkić,31,UTA,West,C,0.6,0.549,10.4,4.8,10.9
