Player,Age,Team,Conference,Pass Yds,Pass TD,Int,Rush Yds,Game Winning Drives
Matthew Stafford,37,LAR,NFC,4707,46,8,150,1
Jared Goff,31,DET,NFC,4564,34,8,259,3
Dak Prescott,32,DAL,NFC,4552,30,10,208,3
Drake Maye,23,NWE,AFC,4394,31,8,201,2
Sam Darnold,28,SEA,NFC,4048,25,14,186,4
Trevor Lawrence,26,JAX,AFC,4007,29,12,247,5
Caleb Williams,24,CHI,NFC,3942,27,7,165,6
Bo Nix,25,DEN,AFC,3931,25,11,119,7
Justin Herbert,27,LAC,AFC,3727,26,13,301,3
Baker Mayfield,30,TAM,NFC,3693,26,11,234,4
Josh Allen,29,BUF,AFC,3668,25,10,298,4
Patrick Mahomes,30,KAN,AFC,3587,22,11,193,1
Jordan Love,27,GNB,NFC,3381,23,6,169,4
Jacoby Brissett,33,ARI,NFC,3366,23,8,288,0
Aaron Rodgers,42,PIT,AFC,3322,24,7,180,3
Jalen Hurts,27,PHI,NFC,3224,25,6,181,1
Cam Ward,23,TEN,AFC,3169,15,7,410,1
Daniel Jones,28,IND,AFC,3101,19,8,158,3
C.J. Stroud,24,HOU,AFC,3041,19,8,189,2
Geno Smith,35,LVR,AFC,3025,19,17,405,0
Bryce Young,24,CAR,NFC,3011,23,11,202,6
Tua Tagovailoa,27,MIA,AFC,2660,20,15,195,1
Lamar Jackson,28,BAL,AFC,2549,21,7,239,1
Tyler Shough,26,NOR,NFC,2384,10,6,195,3
Jaxson Dart,22,NYG,NFC,2272,15,5,152,0
Brock Purdy,26,SFO,NFC,2167,20,10,53,2
Mac Jones,27,SFO,NFC,2151,13,6,108,2
Michael Penix,25,ATL,NFC,1982,9,3,101,0
Joe Burrow,29,CIN,AFC,1809,17,5,113,0
Kirk Cousins,37,ATL,NFC,1721,10,5,79,2
Marcus Mariota,32,WAS,NFC,1695,10,7,107,0
