Player,Team,Pos,Cmp%,Yds,TD,Int,Rate
Matthew Stafford,LAR,QB,65,4707,46,8,109.2
Jared Goff,DET,QB,68,4564,34,8,105.5
Dak Prescott,DAL,QB,67.3,4552,30,10,99.5
Drake Maye,NWE,QB,72,4394,31,8,113.5
Sam Darnold,SEA,QB,67.7,4048,25,14,99.1
Trevor Lawrence,JAX,QB,60.9,4007,29,12,91
Caleb Williams,CHI,QB,58.1,3942,27,7,90.1
Bo Nix,DEN,QB,63.4,3931,25,11,87.8
Justin Herbert,LAC,QB,66.4,3727,26,13,94.1
Baker Mayfield,TAM,QB,63.2,3693,26,11,90.6
Josh Allen,BUF,QB,69.3,3668,25,10,102.2
Patrick Mahomes,KAN,QB,62.7,3587,22,11,89.6
Jordan Love,GNB,QB,66.3,3381,23,6,101.2
Jacoby Brissett,ARI,QB,64.9,3366,23,8,94.1
Aaron Rodgers,PIT,QB,65.7,3322,24,7,94.8
Jalen Hurts,PHI,QB,64.8,3224,25,6,98.5
Cam Ward,TEN,QB,59.8,3169,15,7,80.2
Daniel Jones,IND,QB,68,3101,19,8,100.2
C.J. Stroud,HOU,QB,64.5,3041,19,8,92.9
Geno Smith,LVR,QB,67.4,3025,19,17,84.7
Bryce Young,CAR,QB,63.6,3011,23,11,87.8
Tua Tagovailoa,MIA,QB,67.7,2660,20,15,88.5
Lamar Jackson,BAL,QB,63.6,2549,21,7,103.8
Jaxson Dart,NYG,QB,63.7,2272,15,5,91.7
J.J. McCarthy,MIN,QB,57.6,1632,11,12,72.6
