Player,Team,Pos,Yds,TD,Y/A
Jonathan Taylor,IND,RB,1585,18,4.9
Christian McCaffrey,SFO,RB,1202,10,3.9
James Cook,BUF,RB,1621,12,5.2
Derrick Henry,BAL,RB,1595,16,5.2
Bijan Robinson,ATL,RB,1478,7,5.1
Saquon Barkley,PHI,RB,1140,7,4.1
Ashton Jeanty,LVR,RB,975,5,3.7
Travis Etienne,JAX,RB,1107,7,4.3
Kyren Williams,LAR,RB,1252,10,4.8
Javonte Williams,DAL,RB,1201,11,4.8
Jahmyr Gibbs,DET,RB,1223,13,5
Breece Hall,NYJ,RB,1065,4,4.4
Tony Pollard,TEN,RB,1082,5,4.5
De'Von Achane,MIA,RB,1350,8,5.7
Rico Dowdle,CAR,RB,1076,6,4.6
Josh Jacobs,GNB,RB,929,13,4
Chase Brown,CIN,RB,1019,6,4.4
Quinshon Judkins,CLE,RB,827,7,3.6
D'Andre Swift,CHI,RB,1087,9,4.9
Kenneth Walker III,SEA,RB,1027,5,4.6
Jaylen Warren,PIT,RB,958,6,4.5
Woody Marks,HOU,RB,703,2,3.6
Zach Charbonnet,SEA,RB,730,12,4
TreVeyon Henderson,NWE,RB,911,9,5.1
Tyrone Tracy Jr.,NYG,RB,740,2,4.2
Jacory Croskey-Merritt,WAS,RB,805,8,4.6
Bucky Irving,TAM,RB,588,1,3.4
Kyle Monangai,CHI,RB,783,5,4.6
Kareem Hunt,KAN,RB,611,8,3.7
Jordan Mason,MIN,RB,758,6,4.8
David Montgomery,DET,RB,716,8,4.5
Kimani Vidal,LAC,RB,643,3,4.1
J.K. Dobbins,DEN,RB,772,4,5
RJ Harvey,DEN,RB,540,7,3.7
Blake Corum,LAR,RB,746,6,5.1
Tyler Allgeier,ATL,RB,514,8,3.6
Chuba Hubbard,CAR,RB,511,1,3.8
Aaron Jones,MIN,RB,548,2,4.2
Rachaad White,TAM,RB,572,4,4.3
Alvin Kamara,NOR,RB,471,1,3.6
Rhamondre Stevenson,NWE,RB,603,7,4.6
Emanuel Wilson,GNB,RB,496,3,4
Nick Chubb,HOU,RB,506,3,4.1
Devin Singletary,NYG,RB,437,5,3.7
Isiah Pacheco,KAN,RB,462,1,3.9
Kenneth Gainwell,PIT,RB,537,5,4.7
Chris Rodriguez,WAS,RB,500,6,4.5
Michael Carter,ARI,RB,333,1,3.6
Brian Robinson Jr.,SFO,RB,400,2,4.3
Sean Tucker,TAM,RB,320,7,3.7
Samaje Perine,CIN,RB,382,3,4.5
Bhayshul Tuten,JAX,RB,307,5,3.7
Zonovan Knight,ARI,RB,269,4,3.3
Tyjae Spears,TEN,RB,283,2,3.9
Ollie Gordon,MIA,RB,199,3,2.8
Jaylen Wright,MIA,RB,288,2,4.1
Dylan Sampson,CLE,RB,175,0,2.7
Tank Bigsby,2TM,RB,356,2,5.7
Tank Bigsby,PHI,RB,344,2,5.9
Keaton Mitchell,BAL,RB,341,1,5.8
Ray Davis,BUF,RB,275,0,4.7
Devin Neal,NOR,RB,206,2,3.6
Malik Davis,DAL,RB,250,2,4.8
Ty Johnson,BUF,RB,200,3,4
Emari Demercado,ARI,RB,312,0,7.1
Jeremy McNichols,WAS,RB,221,1,5
Brashard Smith,KAN,RB,151,0,3.4
Isaiah Davis,NYJ,RB,236,1,5.5
