Player,Team,Pos,Rec,Yds,TD
Evan Engram,JAX,TE,114,963,4
T.J. Hockenson,MIN,TE,95,960,5
Travis Kelce,KAN,TE,93,984,5
Sam LaPorta,DET,TE,86,889,10
Trey McBride,ARI,TE,81,825,3
David Njoku,CLE,TE,81,882,6
Dalton Kincaid,BUF,TE,73,673,2
Cole Kmet,CHI,TE,73,719,6
Jake Ferguson,DAL,TE,71,761,5
George Kittle,SFO,TE,65,1020,6
Tyler Conklin,NYJ,TE,61,621,0
Dallas Goedert,PHI,TE,59,592,3
Dalton Schultz,HOU,TE,59,635,5
Logan Thomas,WAS,TE,55,496,4
Chigoziem Okonkwo,TEN,TE,54,528,1
Kyle Pitts,ATL,TE,53,667,3
Darren Waller,NYG,TE,52,552,1
Gerald Everett,LAC,TE,51,411,3
Jonnu Smith,ATL,TE,50,582,3
Tyler Higbee,LAR,TE,47,495,2
Cade Otton,TAM,TE,47,455,4
Mark Andrews,BAL,TE,45,544,6
Hunter Henry,NWE,TE,42,419,6
Tanner Hudson,CIN,TE,39,352,1
Juwan Johnson,NOR,TE,37,368,4
Durham Smythe,MIA,TE,35,366,0
Luke Musgrave,GNB,TE,34,352,1
Noah Fant,SEA,TE,32,414,0
Pat Freiermuth,PIT,TE,32,308,2
Tucker Kraft,GNB,TE,31,355,2
Kylen Granson,IND,TE,30,368,1
Isaiah Likely,BAL,TE,30,411,5
Mike Gesicki,NWE,TE,29,244,2
Noah Gray,KAN,TE,28,305,2
Michael Mayer,LVR,TE,27,304,2
Donald Parham,LAC,TE,27,285,4
Daniel Bellinger,NYG,TE,25,255,0
Austin Hooper,LVR,TE,25,234,0
Colby Parkinson,SEA,TE,25,247,2
Connor Heyward,PIT,TE,23,167,0
Tommy Tremble,CAR,TE,23,194,3
Dawson Knox,BUF,TE,22,186,2
Josh Oliver,MIN,TE,22,213,2
Drew Sample,CIN,TE,22,163,2
Adam Trautman,DEN,TE,22,204,3
Foster Moreau,NOR,TE,21,193,1
